Date,Activity Id,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
11/11/2018 14:05,c9627fed-14ac-47a2-bed3-2a2630c63c15,Running,,10.44,58:40:00,5:37,10.68,774,130,159,,,2018-11-11-140512.gpx
11/9/2018 15:02,be65818d-a801-4847-a43b-2acdf4dc70e7,Running,,12.84,1:14:12,5:47,10.39,954,168,159,,,2018-11-09-150235.gpx
11/4/2018 16:05,c09b2f92-f855-497c-b624-c196b3ef036c,Running,,13.01,1:15:16,5:47,10.37,967,171,155,,,2018-11-04-160500.gpx
11/1/2018 14:03,bc9b612d-3499-43ff-b82a-9b17b71b8a36,Running,,12.98,1:14:25,5:44,10.47,960,169,158,,,2018-11-01-140358.gpx
10/27/2018 17:01,972567b2-1b0e-437c-9e82-fef8078d6438,Running,,13.02,1:12:50,5:36,10.73,967,170,154,,,2018-10-27-170136.gpx
10/19/2018 17:52,fe2cb3fc-6330-40fa-8a92-0f86f4e72282,Running,,10.29,59:18:00,5:46,10.41,764,133,155,,,2018-10-19-175232.gpx
10/14/2018 17:28,96acedc9-d3d5-4aac-8df4-f549a6418c1d,Running,,12.93,1:10:16,5:26,11.04,953,159,158,,,2018-10-14-172856.gpx
10/12/2018 17:41,3c91092b-e6f3-4565-b540-6b6537358006,Running,,12.31,1:09:26,5:38,10.64,903,134,157,,,2018-10-12-174158.gpx
10/6/2018 16:45,4c163abe-3a57-42fd-b50b-7f365960cbd4,Cycling,,19.63,1:26:26,4:24,13.63,577,210,79,,,2018-10-06-164502.gpx
9/30/2018 16:52,70c7f2ba-f4cb-4403-a9e4-bf2c9b93bb05,Running,,12.97,1:13:56,5:42,10.52,964,171,156,,,2018-09-30-165234.gpx
9/16/2018 14:55,30aaa821-1d3a-4f2f-9688-8543cebbd6e8,Cycling,,32.61,1:55:15,3:32,16.98,830,462,118,,,2018-09-16-145503.gpx
9/2/2018 17:24,51781e97-560e-48d0-9522-44f303f9235f,Other,,17.65,1:01:28,3:29,17.23,1164,219,77,,,2018-09-02-172428.gpx
9/1/2018 17:06,2bd1841f-b428-4683-a41b-2bfb4be7e908,Cycling,,36.89,1:58:39,3:13,18.65,937,491,122,,,2018-09-01-170615.gpx
8/28/2018 18:44,c9a8e088-441d-4b3f-bfbc-287e87585ca7,Cycling,,28.17,1:27:07,3:06,19.4,685,400,111,,,2018-08-28-184433.gpx
8/25/2018 17:18,12723b6e-571b-4b68-be17-2c797982d3f9,Cycling,,19.41,1:11:33,3:41,16.28,536,199,124,,,2018-08-25-171832.gpx
8/22/2018 18:25,503a12b4-9a16-4c63-bbcd-be528ae0787a,Running,,4.38,33:55:00,7:45,7.75,334,60,138,,,2018-08-22-182522.gpx
8/12/2018 17:37,fa9f57d9-4995-4efe-9eb8-00983fde4486,Running,,22.09,2:13:22,6:02,9.94,1652,342,148,,,2018-08-12-173717.gpx
8/8/2018 18:44,dc1669de-2d66-4e14-a24f-ba0ed06d70a1,Running,,15.27,1:19:37,5:13,11.51,1143,241,150,,,2018-08-08-184459.gpx
8/5/2018 10:17,d4a6b5b2-2dba-464a-a26e-eec0b67db077,Running,,18.7,1:49:19,5:51,10.26,1397,280,150,,,2018-08-05-101710.gpx
8/1/2018 18:20,03006a09-870b-4f15-bb6c-9b979793e75a,Running,,18.2,1:43:05,5:40,10.59,1355,259,145,,,2018-08-01-182026.gpx
7/31/2018 18:25,a929c543-bc2e-446d-9431-40e60fbc6270,Other,,16.8,1:07:21,4:01,14.97,1075,202,94,,,2018-07-31-182524.gpx
7/30/2018 18:18,6c6dd4aa-7567-40c7-8a8c-e6fc33cc80fb,Running,,17.87,1:44:00,5:49,10.31,1269,261,141,,TomTom MySports Watch,2018-07-30-181847.gpx
7/27/2018 11:43,eb6a80cb-bf87-4426-bc11-9610b7b70cba,Running,,12.71,1:14:51,5:53,10.19,893,180,145,,TomTom MySports Watch,2018-07-27-114303.gpx
7/20/2018 8:01,83e5d964-2630-475d-9c17-d906ddd59eb0,Running,,11.01,59:18:00,5:23,11.14,795,85,,,,2018-07-20-080151.gpx
7/18/2018 8:08,1906f2c4-e77e-4364-98f2-f4eb1d8c9960,Running,,11.04,55:41:00,5:03,11.9,801,87,,,,2018-07-18-080839.gpx
7/13/2018 17:43,324c89a8-c3c9-4576-867e-9038ba3fe761,Running,,17.96,1:41:36,5:40,10.6,1271,258,145,,TomTom MySports Watch,2018-07-13-174320.gpx
7/7/2018 16:02,4968a9c1-bc7a-4568-8394-815a406a6c86,Running,,17.85,1:37:40,5:28,10.97,1261,266,149,,TomTom MySports Watch,2018-07-07-160230.gpx
7/3/2018 18:00,e91eba7e-dd4c-4ae4-8909-c35dc6e2debb,Running,,18.75,1:41:30,5:25,11.08,1332,300,139,,TomTom MySports Watch,2018-07-03-180005.gpx
6/28/2018 12:24,8aa44a93-bf2a-449b-bee4-603135afec7b,Running,,17.95,1:36:59,5:24,11.1,1261,260,148,,TomTom MySports Watch,2018-06-28-122425.gpx
6/25/2018 18:11,4007c802-acff-47ad-a9b0-8403ef8d3def,Running,,18.72,1:39:27,5:19,11.3,1317,301,142,,TomTom MySports Watch,2018-06-25-181112.gpx
6/21/2018 18:03,71c6e320-9ca9-4504-9cd6-4e8636ce5018,Running,,14.38,1:15:59,5:17,11.36,1007,211,145,,TomTom MySports Watch,2018-06-21-180318.gpx
6/18/2018 18:17,874c8870-8621-4356-81fd-e309d38f714a,Running,,11.63,1:02:52,5:24,11.1,811,145,141,,TomTom MySports Watch,2018-06-18-181749.gpx
6/16/2018 17:29,b5c6d02f-8c7f-4359-8263-29a9ca658af1,Running,,14.95,1:19:03,5:17,11.35,1057,243,147,,TomTom MySports Watch,2018-06-16-172900.gpx
6/13/2018 18:50,2f10b609-c2ef-4d8d-90ad-bd49cec2c41b,Running,,12.75,1:07:30,5:18,11.34,890,173,147,,TomTom MySports Watch,2018-06-13-185049.gpx
6/11/2018 18:23,784ecb1a-3614-47e1-a0ba-651f29c98f4c,Running,,15.74,1:22:58,5:16,11.38,1101,209,147,,TomTom MySports Watch,2018-06-11-182311.gpx
6/6/2018 18:44,e65e79d8-d30e-4ec1-b15e-aa7c63385dc9,Running,,12.78,1:07:56,5:19,11.29,901,170,143,,TomTom MySports Watch,2018-06-06-184429.gpx
6/3/2018 17:21,7f80d0e7-d2b2-455a-99fd-baa10dabc2b7,Running,,17.58,1:33:29,5:19,11.28,1240,235,149,,TomTom MySports Watch,2018-06-03-172151.gpx
5/30/2018 18:48,568802c2-29e3-481d-abc6-a504ee825345,Running,,12.81,1:08:12,5:20,11.27,907,172,147,,TomTom MySports Watch,2018-05-30-184800.gpx
5/27/2018 17:31,14196951-8a86-40f1-a99b-a966d26bb616,Running,,21.73,2:03:22,5:41,10.57,1528,343,140,,TomTom MySports Watch,2018-05-27-173109.gpx
5/23/2018 18:13,75a8e0c9-98f5-4f1c-a72f-31eab419477d,Running,,15.59,1:20:32,5:10,11.62,1078,208,158,,TomTom MySports Watch,2018-05-23-181317.gpx
5/21/2018 18:29,5527e00c-758e-411c-87ae-21669adcbc7c,Running,,12.79,1:07:03,5:15,11.44,899,168,144,,TomTom MySports Watch,2018-05-21-182935.gpx
5/18/2018 18:38,bfe5cada-e8c9-4e01-8a99-6baa5190d902,Running,,12.79,1:05:52,5:09,11.66,893,168,147,,TomTom MySports Watch,2018-05-18-183850.gpx
5/15/2018 18:56,775b794a-fde4-485c-a200-112a5d325a27,Running,,12.8,1:05:52,5:09,11.66,889,167,148,,TomTom MySports Watch,2018-05-15-185619.gpx
5/9/2018 18:03,90b07c52-c7e6-4458-a73f-7278beedde39,Running,,12.76,1:08:31,5:22,11.18,892,170,143,,TomTom MySports Watch,2018-05-09-180320.gpx
5/5/2018 11:43,daf91acd-00ea-4e13-b49b-11aba2980590,Running,,15.38,1:30:56,5:55,10.15,1098,234,152,,TomTom MySports Watch,2018-05-05-114310.gpx
5/2/2018 18:22,f99fd0ac-163d-4752-ba14-28f9f4361a63,Running,,12.77,1:07:59,5:19,11.27,894,174,147,,TomTom MySports Watch,2018-05-02-182209.gpx
4/29/2018 16:53,58da30d2-6e3c-44d2-849e-6530743419e4,Running,,15,1:25:03,5:40,10.58,1061,245,149,,TomTom MySports Watch,2018-04-29-165330.gpx
4/24/2018 18:17,0e04a385-bc28-416d-b173-d37feb3df7c7,Running,,12.84,1:08:48,5:22,11.2,902,171,143,,TomTom MySports Watch,2018-04-24-181723.gpx
4/21/2018 18:18,e870e465-ae64-405f-b05f-f3d7737b5347,Running,,12.7,1:07:12,5:18,11.34,893,171,148,,TomTom MySports Watch,2018-04-21-181813.gpx
4/18/2018 18:16,f66c27e3-a1c7-45c2-baa4-d2e583522c18,Running,,12.84,1:06:56,5:13,11.51,901,172,146,,TomTom MySports Watch,2018-04-18-181649.gpx
4/15/2018 11:32,13b1f4bc-9d04-448b-9b0b-44d340c3b47c,Running,,12.76,1:07:57,5:20,11.26,892,169,154,,TomTom MySports Watch,2018-04-15-113226.gpx
4/13/2018 18:37,911b312b-cf1d-499d-bb46-cdeb31da9c9e,Running,,12.9,1:07:47,5:15,11.42,908,169,147,,TomTom MySports Watch,2018-04-13-183712.gpx
4/11/2018 18:17,5581c2b2-e254-46f8-99b0-388913baf5cf,Running,,12.82,1:07:10,5:14,11.45,892,173,147,,TomTom MySports Watch,2018-04-11-181735.gpx
4/8/2018 11:41,cfddcad3-7551-4944-b218-06b28149ac54,Running,,16.48,1:31:35,5:33,10.8,1158,236,164,,TomTom MySports Watch,2018-04-08-114149.gpx
4/6/2018 18:01,eaaf724a-d9fd-4937-8aaa-9e6445aaaad5,Running,,12.75,1:10:54,5:34,10.79,900,170,154,,TomTom MySports Watch,2018-04-06-180130.gpx
4/3/2018 18:43,dff3a1e2-ba08-4694-95dd-00acd3f1bf76,Running,,9.56,46:53:00,5:38,10.65,582,135,143,,TomTom MySports Watch,2018-04-03-184305.gpx
3/26/2018 18:33,e92b419b-61ee-45d6-9264-2f47e70f6d85,Running,,11.82,1:05:28,5:32,10.83,841,202,150,,TomTom MySports Watch,2018-03-26-183312.gpx
3/21/2018 18:57,98b6e3aa-d64a-4aa1-96e2-4b27cc428ba9,Running,,10.4,37:41:00,5:53,10.19,458,116,137,,TomTom MySports Watch,2018-03-21-185705.gpx
3/18/2018 18:14,a3e837f5-c99e-4ea1-9e51-b8a9b0a2544f,Running,,10.36,1:00:17,5:49,10.31,738,188,147,,TomTom MySports Watch,2018-03-18-181445.gpx
3/15/2018 18:31,462e7678-375e-4b97-bef4-95596625b711,Running,,10.15,58:40:00,5:47,10.38,719,182,149,,TomTom MySports Watch,2018-03-15-183135.gpx
2/19/2018 18:28,f37df89c-b59a-406a-a509-3ee09f080aa6,Running,,10.42,1:00:10,5:46,10.39,742,174,143,,TomTom MySports Watch,2018-02-19-182816.gpx
2/15/2018 19:11,dd258b46-8c3b-429a-9884-c38d29f1a77d,Running,,10.27,1:00:19,5:52,10.22,730,174,146,,TomTom MySports Watch,2018-02-15-191133.gpx
2/13/2018 18:27,cd9359da-2c5b-4c41-ac83-b4c237a85701,Running,,10.6,1:01:20,5:47,10.37,750,179,146,,TomTom MySports Watch,2018-02-13-182744.gpx
2/4/2018 17:47,e8203d40-8298-4484-9380-617d6b0d3aa5,Running,,10.08,58:57:00,5:51,10.26,713,175,141,,TomTom MySports Watch,2018-02-04-174737.gpx
1/28/2018 13:23,d1d36e85-9f28-4ab4-a4c2-60aea8f77490,Running,,13,1:13:42,5:40,10.59,910,174,152,,TomTom MySports Watch,2018-01-28-132330.gpx
1/24/2018 18:13,6d853ab2-e3c3-4206-af59-e22096f1b1d5,Running,,11.59,1:10:30,6:05,9.86,847,196,143,,TomTom MySports Watch,2018-01-24-181326.gpx
1/21/2018 11:46,2a24b579-7365-49da-a4e4-67c13d097e39,Running,,10.52,1:00:59,5:48,10.35,744,153,154,,TomTom MySports Watch,2018-01-21-114612.gpx
1/14/2018 12:48,039df468-14d0-4fdd-8496-c9f06f5a5d47,Running,,13.01,1:12:44,5:35,10.73,910,180,153,,TomTom MySports Watch,2018-01-14-124841.gpx
