FECHA_ACCIDENTE,AÑO_ACCIDENTE,MES_ACCIDENTE,DIA_ACCIDENTE,HORA_ACCIDENTE,GRAVEDAD_ACCIDENTE,CLASE_ACCIDENTE,SITIO_EXACTO_ACCIDENTE,CANT_HERIDOS_EN _SITIO_ACCIDENTE,CANT_MUERTOS_EN _SITIO_ACCIDENTE,CANTIDAD_ACCIDENTES
01/01/2015 12:00:00 AM,2015,1,Jue,02:10:00:PM,Con heridos,Choque,VIA 40 CON 77,1,,1
01/01/2015 12:00:00 AM,2015,1,Jue,02:15:00:PM,Solo daños,Choque,CALLE 14 CR 13,,,1
01/01/2015 12:00:00 AM,2015,1,Jue,02:20:00:PM,Solo daños,Choque,CL 74 CR 38C,,,1
01/01/2015 12:00:00 AM,2015,1,Jue,03:30:00:PM,Con heridos,Choque,CL 45 CR 19,2,,1
01/01/2015 12:00:00 AM,2015,1,Jue,04:20:00:AM,Solo daños,Choque,CRA 15 CLLE 21,,,1
01/01/2015 12:00:00 AM,2015,1,Jue,04:40:00:PM,Con heridos,Choque,CRA 14 CLLE 35,2,,1
01/01/2015 12:00:00 AM,2015,1,Jue,04:50:00:PM,Con heridos,Atropello,CRA 6 CLLE 90,1,,1
01/01/2015 12:00:00 AM,2015,1,Jue,06:00:00:AM,Solo daños,Choque,CRA 6 CLLE 92,,,1
01/01/2015 12:00:00 AM,2015,1,Jue,07:50:00:PM,Solo daños,Choque,CALLE 99 CR 56,,,1
01/01/2015 12:00:00 AM,2015,1,Jue,09:25:00:PM,Solo daños,Choque,CL 47 CR 24,,,1
01/02/2015 12:00:00 AM,2015,1,Vie,01:00:00:PM,Solo daños,Choque,CLLE 64 CRA 44,,,1
01/02/2015 12:00:00 AM,2015,1,Vie,03:10:00:PM,Solo daños,Choque,CALLE 110 CR 51B,,,1
01/02/2015 12:00:00 AM,2015,1,Vie,04:00:00:PM,Solo daños,Choque,CL 80 CR 42H,,,1
01/02/2015 12:00:00 AM,2015,1,Vie,04:05:00:PM,Solo daños,Choque,AV CIRCUNVALAR CR 43 Y CR 46,,,1
01/02/2015 12:00:00 AM,2015,1,Vie,04:20:00:AM,Con muertos,Atropello,CLLE 19 CRA 1,,1,1
01/02/2015 12:00:00 AM,2015,1,Vie,04:40:00:PM,Solo daños,Choque,CR 46 CL 79,,,1
01/02/2015 12:00:00 AM,2015,1,Vie,05:19:00:PM,Solo daños,Choque,CL 72 CR 53,,,1
01/02/2015 12:00:00 AM,2015,1,Vie,05:45:00:PM,Solo daños,Choque,CLLE 53 CRA 46,,,1
01/02/2015 12:00:00 AM,2015,1,Vie,06:30:00:PM,Solo daños,Choque,CR 53 CL 82,,,1
01/02/2015 12:00:00 AM,2015,1,Vie,07:40:00:AM,Solo daños,Choque,CR 27 CL 38,,,1
01/02/2015 12:00:00 AM,2015,1,Vie,08:15:00:AM,Solo daños,Choque,CRA 14 CLLE 38B,,,1
01/02/2015 12:00:00 AM,2015,1,Vie,09:00:00:AM,Solo daños,Choque,CALLE 64 CR 47,,,1
01/02/2015 12:00:00 AM,2015,1,Vie,09:30:00:PM,Solo daños,Choque,CLLE 87 CRA 9G,,,1
01/03/2015 12:00:00 AM,2015,1,Sáb,01:50:00:PM,Solo daños,Choque,CALLE 70 CR 53,,,1
01/03/2015 12:00:00 AM,2015,1,Sáb,02:30:00:PM,Solo daños,Choque,CL 86 CR 59B,,,1
01/03/2015 12:00:00 AM,2015,1,Sáb,03:00:00:PM,Solo daños,Choque,CRA 44 CLLE 59,,,1
01/03/2015 12:00:00 AM,2015,1,Sáb,03:50:00:PM,Solo daños,Choque,CLLE 53D CRA 14,,,1
01/03/2015 12:00:00 AM,2015,1,Sáb,05:30:00:PM,Solo daños,Choque,CRA 44 CLLE 48,,,1
01/03/2015 12:00:00 AM,2015,1,Sáb,08:00:00:AM,Solo daños,Choque,CLLE C98 CRA 51B,,,1
01/03/2015 12:00:00 AM,2015,1,Sáb,08:00:00:PM,Solo daños,Choque,CL 96 CR 4,,,1
01/03/2015 12:00:00 AM,2015,1,Sáb,09:00:00:AM,Solo daños,Choque,CR 42H CL 84B,,,1
01/03/2015 12:00:00 AM,2015,1,Sáb,10:51:00:PM,Solo daños,Choque,CR 42 CL 76,,,1
01/03/2015 12:00:00 AM,2015,1,Sáb,11:00:00:PM,Solo daños,Choque,AVENIDA 110 CRA 15,,,1
