Mes;Union Europea;Canada;Estados Unidos;Mexico;Bolivia;Ecuador;Peru;Argentina;Brasil;Paraguay;Uruguay;Venezuela;China;Japon;India;Panama;Resto de paises;Total Exportaciones
ene-08;418451;18480;1013092;42656;8083;96234;62800;13108;32525;175;3186;437253;66235;36561;6579;21048;565841;2842306
feb-08;373619;28261;1022961;47533;6557;90557;69988;9329;34531;561;878;490010;37063;34107;670;21463;554383;2822470
mar-08;579283;30523;1197468;47511;7510;130023;71460;4572;41203;469;512;386031;18712;30425;670;23943;436972;3007288
abr-08;470388;55122;1258744;60922;10276;134013;80034;8404;153191;407;1475;472586;43412;36821;884;24631;554109;3365420
may-08;441588;42154;1296963;49126;9244;120233;72274;22892;41589;616;673;479452;16747;39810;1526;29398;728330;3392615
jun-08;473023;19422;1423471;41642;7575;129758;86487;8661;58620;808;632;425754;40338;27576;621;26611;904657;3675654
jul-08;471793;31492;1429191;85589;10631;149229;87828;16824;68088;505;1210;484242;57004;34238;668;33950;839204;3801685
ago-08;282904;20298;1416749;49967;8644;122602;61057;6607;48994;309;3172;465183;25275;28340;1357;23411;729319;3294187
sep-08;368212;22321;1284233;39735;9230;107108;64254;14976;43491;349;511;455760;21868;28903;530;25935;646577;3133994
oct-08;277224;19381;1007102;47241;8532;145142;68702;10921;46882;929;476;655920;10199;23880;428;36518;621629;2981105
nov-08;129529;9406;665629;34333;4400;123214;63701;4659;31120;473;351;670259;69561;14746;658;23310;400028;2245379
dic-08;226297;10495;721062;36115;9545;142954;57256;5840;27036;437;5826;648237;2906;29297;272;26494;274202;2224271
ene-09;566622;46615;712365;50832;6325;105020;78241;6273;45586;325;840;416127;25284;29272;1388;24417;410167;2525698
feb-09;264029;36067;811059;33919;6920;96003;72637;4865;41015;779;523;488809;41957;33578;1231;26428;380297;2340118
mar-09;490833;19625;893356;54669;7045;108756;57943;7399;56669;348;902;492472;36776;30376;1846;28014;424301;2711332
abr-09;333446;47197;781276;35189;9663;96163;64162;7328;30370;434;969;415042;128978;36302;4986;27442;408623;2427571
may-09;406654;29668;1059509;43122;5023;98951;54064;9168;21673;662;559;464183;22505;17261;54159;25279;430079;2742519
jun-09;377492;31786;1181298;38584;6228;94771;51396;8578;29340;379;951;409098;53682;28750;5915;24827;395009;2738083
jul-09;432451;25299;1147125;41684;5733;97200;62262;11676;40134;889;867;344828;107625;26464;76049;26274;452043;2898600
ago-09;234564;30379;1184043;44180;7040;82958;53500;8693;49630;434;516;252843;75093;23228;68537;23918;533914;2673470
sep-09;401959;23674;1247166;37265;11533;113846;71156;9160;56182;584;799;231033;31205;27665;10835;28665;493257;2795983
oct-09;390489;36267;1309175;43394;10414;112760;78350;13108;62300;548;1667;195471;114894;27317;67334;23535;461662;2948687
nov-09;402713;26845;1135993;49163;6870;113519;63809;5233;47357;574;1391;191745;186136;24634;17524;22157;565631;2861294
dic-09;421619;32171;1416559;63703;7618;137386;80511;7105;89711;959;2006;147909;125593;31449;139330;28635;450708;3182972
ene-10;450670;26198;1239545;43350;8148;86174;72500;7139;53923;1441;160;95824;156796;32106;8202;31230;600028;2913433
