Mes;Union Europea;Canada;Estados Unidos;Mexico;Bolivia;Ecuador;Peru;Argentina;Brasil;Paraguay;Uruguay;Venezuela;China;Japon;India;Panama;Resto de paises;Total Exportaciones;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ene-08; 418.451 ; 18.480 ; 1.013.092 ; 42.656 ; 8.083 ; 96.234 ; 62.800 ; 13.108 ; 32.525 ; 175 ; 3.186 ; 437.253 ; 66.235 ; 36.561 ; 6.579 ; 21.048 ; 565.841 ; 2.842.306 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
feb-08; 373.619 ; 28.261 ; 1.022.961 ; 47.533 ; 6.557 ; 90.557 ; 69.988 ; 9.329 ; 34.531 ; 561 ; 878 ; 490.010 ; 37.063 ; 34.107 ; 670 ; 21.463 ; 554.383 ; 2.822.470 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mar-08; 579.283 ; 30.523 ; 1.197.468 ; 47.511 ; 7.510 ; 130.023 ; 71.460 ; 4.572 ; 41.203 ; 469 ; 512 ; 386.031 ; 18.712 ; 30.425 ; 670 ; 23.943 ; 436.972 ; 3.007.288 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abr-08; 470.388 ; 55.122 ; 1.258.744 ; 60.922 ; 10.276 ; 134.013 ; 80.034 ; 8.404 ; 153.191 ; 407 ; 1.475 ; 472.586 ; 43.412 ; 36.821 ; 884 ; 24.631 ; 554.109 ; 3.365.420 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
may-08; 441.588 ; 42.154 ; 1.296.963 ; 49.126 ; 9.244 ; 120.233 ; 72.274 ; 22.892 ; 41.589 ; 616 ; 673 ; 479.452 ; 16.747 ; 39.810 ; 1.526 ; 29.398 ; 728.330 ; 3.392.615 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jun-08; 473.023 ; 19.422 ; 1.423.471 ; 41.642 ; 7.575 ; 129.758 ; 86.487 ; 8.661 ; 58.620 ; 808 ; 632 ; 425.754 ; 40.338 ; 27.576 ; 621 ; 26.611 ; 904.657 ; 3.675.654 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jul-08; 471.793 ; 31.492 ; 1.429.191 ; 85.589 ; 10.631 ; 149.229 ; 87.828 ; 16.824 ; 68.088 ; 505 ; 1.210 ; 484.242 ; 57.004 ; 34.238 ; 668 ; 33.950 ; 839.204 ; 3.801.685 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ago-08; 282.904 ; 20.298 ; 1.416.749 ; 49.967 ; 8.644 ; 122.602 ; 61.057 ; 6.607 ; 48.994 ; 309 ; 3.172 ; 465.183 ; 25.275 ; 28.340 ; 1.357 ; 23.411 ; 729.319 ; 3.294.187 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sep-08; 368.212 ; 22.321 ; 1.284.233 ; 39.735 ; 9.230 ; 107.108 ; 64.254 ; 14.976 ; 43.491 ; 349 ; 511 ; 455.760 ; 21.868 ; 28.903 ; 530 ; 25.935 ; 646.577 ; 3.133.994 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
oct-08; 277.224 ; 19.381 ; 1.007.102 ; 47.241 ; 8.532 ; 145.142 ; 68.702 ; 10.921 ; 46.882 ; 929 ; 476 ; 655.920 ; 10.199 ; 23.880 ; 428 ; 36.518 ; 621.629 ; 2.981.105 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
