Mes;Total;Agropecuarios, alimentos y bebidas;Combustibles y Prod de industrias extractivas ;Manufacturas;Otros sectores 
ene-95;689.342;285.630;163.985;227.023;12.702
feb-95;761.988;286.773;168.298;295.860;11.057
mar-95;912.372;346.754;213.452;335.566;16.600
abr-95;780.218;291.450;214.234;262.060;12.474
may-95;922.133;344.333;252.655;312.023;13.123
jun-95;877.172;317.623;252.207;295.230;12.113
jul-95;837.860;275.664;246.424;299.745;16.028
ago-95;908.804;305.102;252.635;332.321;18.746
sep-95;857.052;296.490;259.304;283.931;17.327
oct-95;907.623;313.104;283.413;295.598;15.508
nov-95;898.941;328.714;263.768;294.665;11.794
dic-95;847.559;303.290;268.838;259.170;16.261
ene-96;698.305;234.159;234.068;206.018;24.060
feb-96;797.454;267.344;267.308;249.791;13.011
mar-96;943.499;314.582;336.362;265.321;27.234
abr-96;965.796;328.886;361.600;247.023;28.288
may-96;920.016;297.915;311.818;286.775;23.508
jun-96;872.111;289.624;316.580;249.499;16.408
jul-96;896.226;290.319;304.612;287.984;13.311
ago-96;777.598;229.440;283.017;253.851;11.290
sep-96;870.343;248.874;347.646;261.722;12.102
oct-96;986.610;296.385;393.310;281.404;15.511
nov-96;988.750;356.436;356.722;261.299;14.294
dic-96;930.856;263.678;374.024;287.678;5.476
ene-97;799.845;247.145;314.850;221.580;16.270
feb-97;862.569;334.241;279.754;245.459;3.117
mar-97;766.494;239.321;285.552;234.299;7.322
abr-97;1.115.496;440.909;353.866;308.197;12.524
may-97;1.070.640;472.080;282.975;307.748;7.837
jun-97;925.282;375.862;255.992;285.049;8.379
jul-97;1.079.473;395.341;318.369;361.053;4.709
ago-97;899.757;298.508;318.055;279.096;4.097
sep-97;982.452;379.747;265.913;334.285;2.507
oct-97;932.712;314.161;316.852;298.590;3.109
nov-97;997.183;325.280;348.337;320.834;2.732
dic-97;1.117.124;449.939;343.627;320.657;2.901
ene-98;864.411;337.437;282.787;242.202;1.985
feb-98;818.623;322.989;232.908;259.340;3.386
mar-98;917.400;350.675;252.814;311.548;2.363
abr-98;893.728;348.672;257.503;284.275;3.278
may-98;1.084.466;407.935;352.444;322.442;1.645
jun-98;921.201;359.460;255.643;304.471;1.628
jul-98;926.364;341.538;272.842;310.379;1.606
ago-98;826.455;284.432;258.589;282.682;751
sep-98;923.689;303.473;306.892;313.324; -     
oct-98;883.621;321.142;279.357;281.973;1.149
nov-98;854.017;283.256;308.822;261.191;748
dic-98;951.649;358.160;306.573;286.114;803
ene-99;719.250;267.117;246.958;205.106;69
feb-99;762.141;269.865;245.584;244.755;1.937
mar-99;952.522;319.236;325.108;306.748;1.430
abr-99;837.487;287.478;308.921;240.820;268
may-99;929.694;294.313;354.997;279.170;1.214
jun-99;1.042.934;315.859;416.826;309.553;696
jul-99;1.015.421;267.794;439.064;307.791;771
ago-99;1.002.154;269.854;426.625;304.856;819
sep-99;1.063.461;264.635;495.936;302.376;514
oct-99;966.457;257.007;435.089;273.030;1.331
nov-99;1.076.228;265.682;475.883;334.010;653
dic-99;1.249.292;302.359;610.442;335.811;681
ene-00;1.011.676;226.785;459.442;325.094;356
feb-00;1.054.098;245.391;513.715;293.490;1.502
mar-00;1.053.546;221.199;480.727;350.807;812
abr-00;886.359;230.889;391.562;263.666;242
may-00;1.146.258;263.237;512.446;369.445;1.131
jun-00;1.153.956;280.202;504.114;368.243;1.397
jul-00;1.104.408;282.900;470.523;350.383;602
ago-00;1.242.391;300.406;502.578;438.898;509
sep-00;1.102.913;244.759;454.679;402.869;606
oct-00;981.716;243.876;373.041;364.166;635
nov-00;1.192.681;293.873;507.729;390.545;534
dic-00;1.228.398;289.388;585.294;353.116;600
ene-01;1.017.195;199.297;441.886;375.685;327
feb-01;964.437;239.384;383.651;340.325;1.078
mar-01;1.002.450;237.116;351.759;412.199;1.377
abr-01;1.058.457;228.882;453.398;375.233;944
may-01;1.068.023;250.380;397.237;419.529;876
jun-01;996.736;243.871;353.943;398.482;440
jul-01;1.005.867;240.633;312.859;452.210;165
ago-01;1.189.605;243.419;499.141;446.886;160
sep-01;1.078.781;212.448;453.265;412.417;651
oct-01;1.013.772;247.890;338.917;426.155;810
nov-01;965.973;288.527;263.849;412.829;768
dic-01;968.599;261.058;333.401;370.418;3.723
ene-02;943.702;238.638;321.145;382.868;1.051
feb-02;945.935;245.664;346.884;349.142;4.245
mar-02;859.303;208.813;343.138;305.109;2.244
abr-02;1.123.902;259.686;420.213;440.303;3.700
may-02;1.076.509;289.758;349.638;433.102;4.011
jun-02;921.463;234.170;350.987;334.381;1.924
jul-02;1.040.876;244.375;338.496;451.060;6.944
ago-02;915.457;218.189;335.003;357.692;4.574
sep-02;1.055.414;232.444;402.465;405.088;15.418
oct-02;1.070.342;245.957;381.663;410.111;32.611
nov-02;966.897;244.574;360.915;355.167;6.241
dic-02;1.055.590;264.924;425.273;334.724;30.669
ene-03;923.427;205.643;401.070;283.965;32.748
feb-03;1.033.043;287.692;367.844;345.654;31.853
mar-03;1.034.233;244.771;380.869;371.091;37.502
abr-03;1.101.056;252.139;419.567;379.083;50.268
may-03;1.181.888;236.368;534.372;364.119;47.030
jun-03;995.297;257.680;355.711;337.283;44.623
jul-03;1.267.598;275.189;535.358;412.691;44.361
ago-03;1.092.850;234.531;412.559;388.910;56.851
sep-03;1.079.472;253.804;368.366;387.699;69.603
oct-03;1.169.195;246.851;459.916;398.469;63.959
nov-03;1.082.836;257.107;384.251;383.598;57.880
dic-03;1.167.628;277.719;383.103;448.201;58.606
ene-04;1.183.399;258.218;537.811;344.347;43.022
feb-04;1.031.826;251.230;335.387;428.401;16.808
mar-04;1.206.657;267.885;409.070;487.355;42.348
abr-04;1.271.618;282.681;466.834;489.675;32.428
may-04;1.335.727;268.674;505.992;499.002;62.059
jun-04;1.433.647;325.327;538.674;504.872;64.774
jul-04;1.541.103;310.311;609.841;574.559;46.393
ago-04;1.516.523;345.193;538.387;584.290;48.653
sep-04;1.519.458;273.198;626.408;578.840;41.012
oct-04;1.529.291;282.533;647.494;540.161;59.103
nov-04;1.585.709;353.829;577.400;589.193;65.287
dic-04;1.633.370;377.498;598.455;601.990;55.427
ene-05;1.378.980;380.044;474.092;481.697;43.146
feb-05;1.529.265;378.682;609.211;504.984;36.388
mar-05;1.722.081;386.789;689.003;589.141;57.147
abr-05;1.682.450;404.628;617.378;607.547;52.898
may-05;1.737.198;424.848;674.229;600.220;37.900
jun-05;2.097.853;421.736;927.511;690.086;58.520
jul-05;1.653.833;370.929;604.922;634.193;43.789
ago-05;1.882.740;379.958;836.324;620.572;45.886
sep-05;1.908.016;391.457;790.075;672.315;54.170
oct-05;1.788.905;327.967;773.046;628.012;59.880
nov-05;1.826.199;346.030;745.378;660.048;74.742
dic-05;1.938.567;392.589;815.591;660.977;69.410
ene-06;1.668.171;324.496;757.803;513.357;72.515
feb-06;1.862.024;405.991;778.813;623.413;53.807
mar-06;1.929.864;424.199;764.854;685.392;55.419
abr-06;1.872.161;361.228;821.902;620.610;68.420
may-06;2.211.681;431.760;976.076;717.540;86.305
jun-06;2.039.364;389.373;813.011;742.127;94.853
jul-06;2.141.958;402.045;957.171;696.339;86.403
ago-06;2.129.881;426.476;841.783;789.108;72.513
sep-06;2.104.243;426.440;778.670;833.718;65.415
oct-06;2.271.572;467.837;881.454;861.583;60.698
nov-06;2.146.547;457.766;745.309;874.366;69.106
dic-06;2.134.504;442.593;872.198;758.125;61.589
ene-07;1.843.668;397.898;766.635;618.949;60.185
feb-07;1.914.770;498.872;656.573;687.111;72.213
mar-07;2.384.657;512.002;1.008.456;810.303;53.895
abr-07;2.497.750;418.158;1.002.894;1.010.475;66.223
may-07;2.727.980;485.708;971.124;1.219.170;51.977
jun-07;2.114.259;463.113;642.478;961.816;46.851
jul-07;2.648.147;483.059;1.170.825;940.216;54.046
ago-07;2.621.002;516.656;1.030.986;1.007.567;65.794
sep-07;2.523.170;483.815;955.314;992.278;91.762
oct-07;2.623.649;526.080;923.679;1.092.854;81.036
nov-07;3.152.653;564.646;1.241.641;1.243.255;103.110
dic-07;3.227.536;564.559;1.323.285;1.276.508;63.185
ene-08;2.842.306;522.596;1.269.752;962.890;87.068
feb-08;2.822.470;599.562;1.205.446;936.750;80.713
mar-08;3.007.288;547.517;1.538.373;852.105;69.293
abr-08;3.365.420;639.816;1.586.455;1.041.267;97.883
may-08;3.392.615;584.515;1.734.714;985.135;88.251
jun-08;3.675.654;579.958;2.060.836;965.770;69.090
jul-08;3.801.685;654.291;1.920.787;1.124.961;101.646
ago-08;3.294.187;555.298;1.727.499;927.574;83.816
sep-08;3.133.994;492.365;1.688.061;847.184;106.384
oct-08;2.981.105;490.455;1.321.935;1.065.951;102.765
nov-08;2.245.379;403.639;804.030;969.009;68.700
dic-08;2.224.271;512.615;645.168;991.680;74.808
ene-09;2.525.698;508.566;1.196.620;748.033;72.479
feb-09;2.340.118;516.328;815.530;859.626;148.634
mar-09;2.711.332;598.733;1.146.273;840.222;126.105
abr-09;2.427.571;525.858;1.091.223;708.292;102.198
may-09;2.742.519;547.600;1.346.032;755.894;92.993
jun-09;2.738.083;454.032;1.397.655;784.054;102.342
jul-09;2.898.600;550.169;1.444.124;778.623;125.685
ago-09;2.673.470;411.720;1.492.955;654.621;114.174
sep-09;2.795.983;480.612;1.421.341;747.453;146.577
oct-09;2.948.687;442.132;1.634.872;723.569;148.113
nov-09;2.861.294;412.283;1.593.832;673.064;182.115
dic-09;3.182.972;522.530;1.715.193;735.652;209.597
ene-10;2.913.433;452.935;1.758.454;555.905;146.139
feb-10;2.869.156;399.571;1.676.993;646.726;145.866
mar-10;3.337.903;580.529;1.808.514;773.101;175.760
abr-10;3.490.978;468.547;2.068.196;782.844;171.391
may-10;3.513.331;497.672;2.014.659;824.953;176.048
jun-10;3.060.628;378.818;1.805.933;707.753;168.124
jul-10;3.157.626;422.562;1.933.534;663.491;138.039
ago-10;3.291.236;442.620;2.059.062;648.834;140.720
sep-10;3.271.661;463.098;1.831.952;786.992;189.618
oct-10;3.535.759;490.289;2.090.418;760.803;194.249
nov-10;3.426.095;521.533;2.020.880;692.006;191.676
dic-10;3.845.531;638.552;2.126.363;785.011;295.606
ene-11;3.760.176;588.983;2.399.325;624.659;147.209
feb-11;3.958.572;571.450;2.490.214;711.034;185.875
mar-11;4.893.312;700.710;3.073.930;904.366;214.306
abr-11;4.823.094;643.431;3.174.020;789.604;216.039
may-11;5.153.710;666.436;3.456.529;801.353;229.393
jun-11;4.708.737;651.196;3.083.942;767.855;205.743
jul-11;4.866.229;477.354;3.393.823;766.948;228.103
ago-11;4.941.645;527.888;3.300.201;843.165;270.390
sep-11;4.582.401;486.298;3.027.040;823.887;245.176
oct-11;4.772.996;506.962;3.203.887;795.454;266.693
nov-11;5.147.330;607.460;3.450.436;796.213;293.221
dic-11;5.306.738;631.142;3.561.500;808.097;305.998
ene-12;4.785.773;558.473;3.359.880;665.607;201.813
feb-12;4.999.318;515.238;3.376.270;807.590;300.220
mar-12;5.712.355;637.819;3.919.588;877.170;277.778
abr-12;5.010.929;452.088;3.572.969;726.256;259.616
may-12;5.403.375;637.247;3.574.152;921.910;270.066
jun-12;4.563.431;532.865;2.937.966;800.041;292.558
jul-12;4.976.905;595.613;3.248.531;843.534;289.227
ago-12;4.570.780;583.745;2.788.859;895.737;302.438
sep-12;4.910.403;506.441;3.255.273;831.409;317.280
oct-12;5.432.930;576.573;3.643.932;874.053;338.372
nov-12;4.807.338;551.990;3.062.842;908.123;284.384
